"sp"	"estado"	"accion"	"source_len"	"target_len"
"sp_obtenerlistaordenestrabajo"	"DIFERENTE_LOGICA"	"ALTER"	"866"	"844"
"sp_obtenerlistaordenestrabajo_otweb"	"FALTA_EN_TARIJA"	"CREATE"	"914"	"0"
"sp_obtenerlistaordenestrabajorfechas"	"DIFERENTE_LOGICA"	"ALTER"	"976"	"950"
"sp_obtenerordentrabajo_x_numero"	"IGUAL_LOGICA"	"SKIP"	"978"	"978"
"sp_obtenertipomaterial"	"IGUAL_LOGICA"	"SKIP"	"566"	"566"
"sp_supervision_listartipospenalizacion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_supervision_listartipossupervision"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_supervision_listartipostrabajo"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"sp_tecnico_obtenernombreporid"	"IGUAL_LOGICA"	"SKIP"	"819"	"817"
"sp_traertodoslosproductosmascara"	"IGUAL_LOGICA"	"SKIP"	"382"	"382"
"sp_usuario_listaractivosbasico"	"IGUAL_LOGICA"	"SKIP"	"206"	"204"
"sp_validamovimientos"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spb_saldorutascantidad_x_ruta"	"IGUAL_LOGICA"	"SKIP"	"367"	"367"
"spr_traervendedores_x_formtecnico"	"IGUAL_LOGICA"	"SKIP"	"306"	"302"
"spx_actualizarconformacioncuadrillabackoffice"	"IGUAL_LOGICA"	"SKIP"	"1675"	"1674"
"spx_actualizarconformacioncuadrillaweb"	"IGUAL_LOGICA"	"SKIP"	"1651"	"1649"
"spx_buscarserialcargousuario"	"IGUAL_LOGICA"	"SKIP"	"1430"	"1438"
"spx_cambiarpasswordusuarioporid"	"IGUAL_LOGICA"	"SKIP"	"1283"	"1279"
"spx_central_actualizarsupervisorconformacion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_central_buscarsupervisorportecnicoconformacion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
